Category,Segment,Ticker,Name,AMC,CMP_Baseline,1W (%),1M (%),3M (%),6M (%),1Y (%),52W High,52W Low,30D_Volume_Baseline
US Equity – Broad Market,S&P 500,SPY,SPDR S&P 500 ETF Trust,SPDR,731.58,1.8,8.22,6.39,7.09,31.87,733.83,554.79,62620724.0
US Equity – Broad Market,S&P 500 Low Cost,VOO,Vanguard S&P 500 ETF,Vanguard,672.54,1.81,8.24,6.39,7.11,31.93,674.66,509.79,7066526.0
US Equity – Broad Market,Nasdaq 100,QQQ,Invesco QQQ Trust,Invesco,694.94,4.07,14.66,12.86,10.08,44.49,695.77,480.97,48013287.0
US Equity – Broad Market,Total US Market,VTI,Vanguard Total Stock Market ETF,Vanguard,360.2,1.7,7.94,6.32,7.22,32.0,361.86,272.88,3926196.0
US Equity – Broad Market,Dow Jones 30,DIA,SPDR Dow Jones Industrial Average,SPDR,495.91,-0.15,3.54,1.12,4.73,22.52,499.98,404.76,4834149.0
US Equity – Broad Market,Russell 2000,IWM,iShares Russell 2000 ETF,iShares,282.26,1.54,8.37,7.6,13.96,44.52,286.8,195.32,31878478.0
US Equity – Broad Market,S&P 400 Mid Cap,IJH,iShares Core S&P Mid-Cap ETF,iShares,73.66,1.22,4.44,6.42,13.04,28.22,74.62,57.45,9565204.0
US Equity – Broad Market,Equal Weight S&P 500,RSP,Invesco S&P 500 Equal Weight ETF,Invesco,203.54,0.05,2.82,2.94,7.75,20.91,204.85,168.34,9913239.0
US Equity – Sector,Technology,XLK,Technology Select Sector SPDR,SPDR,169.69,6.39,19.76,19.58,12.7,58.16,170.03,107.29,11595963.0
US Equity – Sector,Financials,XLF,Financial Select Sector SPDR,SPDR,51.55,-1.11,0.68,-3.2,-1.88,5.86,56.11,47.81,38515216.0
US Equity – Sector,Healthcare,XLV,Health Care Select Sector SPDR,SPDR,144.72,-0.87,-3.31,-5.7,0.33,8.82,159.54,126.51,9558542.0
US Equity – Sector,Energy,XLE,Energy Select Sector SPDR,SPDR,55.95,-6.2,-3.62,8.99,30.03,43.38,62.56,39.02,49229149.0
US Equity – Sector,Industrials,XLI,Industrial Select Sector SPDR,SPDR,174.0,-0.33,2.09,3.28,13.19,31.45,178.4,132.37,10124528.0
US Equity – Sector,Consumer Disc,XLY,Consumer Discretionary SPDR,SPDR,119.88,1.29,8.18,-0.72,-0.18,21.38,124.27,98.76,8787894.0
US Equity – Sector,Consumer Staples,XLP,Consumer Staples SPDR,SPDR,83.98,-0.39,1.45,-1.65,8.54,5.92,89.51,74.58,13349213.0
US Equity – Sector,Materials,XLB,Materials Select Sector SPDR,SPDR,51.4,-0.14,-0.68,1.83,16.5,25.93,53.38,40.82,11516051.0
US Equity – Sector,Utilities,XLU,Utilities Select Sector SPDR,SPDR,45.12,-3.69,-3.55,5.08,1.58,14.93,47.4,38.55,20972002.0
US Equity – Sector,Real Estate,XLRE,Real Estate Select Sector SPDR,SPDR,44.4,0.0,4.62,9.53,8.13,10.55,44.74,39.26,6338054.0
US Equity – Sector,Comm Services,XLC,Communication Services SPDR,SPDR,117.38,0.75,3.14,0.01,1.33,21.95,119.7,95.99,5408846.0
US Equity – Market Cap,Mega Cap,MGC,Vanguard Mega Cap ETF,Vanguard,268.3,2.12,9.23,6.63,6.49,33.68,268.94,200.7,149484.0
US Equity – Market Cap,Large Cap,IVV,iShares Core S&P 500 ETF,iShares,734.96,1.79,8.24,6.4,7.12,31.98,737.41,556.87,6123408.0
US Equity – Market Cap,Mid Cap,VO,Vanguard Mid-Cap ETF,Vanguard,77.39,0.1,3.72,4.73,6.33,20.68,78.2,64.13,2571422.0
